lati,longi,color
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.8925,-87.624,green
41.893,-87.62183333333333,green
41.893,-87.62183333333333,green
41.893,-87.62183333333333,green
41.893,-87.62183333333333,green
41.893,-87.62183333333333,green
41.893,-87.62183333333333,green
41.89266666666666,-87.624,green
41.894999999999996,-87.62349999999999,green
41.894999999999996,-87.62349999999999,green
41.894999999999996,-87.62349999999999,green
41.894999999999996,-87.62349999999999,green
41.894999999999996,-87.62349999999999,green
41.894999999999996,-87.62349999999999,green
41.89566666666666,-87.624,green
41.895833333333336,-87.624,green
41.894,-87.62416666666665,green
41.894,-87.62416666666665,green
41.894,-87.62416666666665,green
41.894,-87.62416666666665,green
41.894,-87.62416666666665,green
41.894,-87.62416666666665,green
41.894,-87.62416666666665,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
41.894,-87.62249999999999,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
42.047999999999995,-87.67800000000001,green
